accession,disease_name,omim_id
HMDB0000063,"Bipolar disorder;Tic disorder;Schizophrenia;ACTH deficiency, isolated;Adrenal hypoplasia;Apparent mineralocorticoid excess;Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency;Aromatase deficiency;3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency;3-Hydroxyacyl-CoA dehydrogenase deficiency;Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis;Congenital Adrenal Hyperplasia, due to 17-Hydroxylase-Deficiency;Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete;3-Hydroxy-3-methylglutaryl-CoA lyase deficiency;Bartter Syndrome, Type 2, Antenatal;Glucocorticoid resistance;Proprotein Convertase 1/3 Deficiency;Lipoid Congenital Adrenal Hyperplasia;Corticosterone methyl oxidase I deficiency;Benign gynecological diseases;Functional hypothalamic amenorrhea;Stress;Anorexia nervosa;Rheumatoid arthritis;Leptin Deficiency or Dysfunction",125480;NA;181500;201400;300200;218030;201810;613546;605911;231530;201750;202110;613743;246450;241200;615962;600955;201710;203400;NA;NA;NA;606788;180300;614962
HMDB0000064,Cirrhosis;Pancreatic cancer;Colorectal cancer;Schizophrenia;Early preeclampsia;Pregnancy;Late-onset preeclampsia;Hypermethioninemia;Cerebral creatine deficiency syndrome 3;Uremia;Irritable bowel syndrome;Crohn's disease;Ulcerative colitis;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Attachment loss;Missing teeth;Periodontal Probing Depth;Cystic fibrosis;Lung Cancer;Rhabdomyolysis;Eosinophilic esophagitis;Cerebral creatine deficiency syndrome 1,NA;260350;114500;181500;NA;NA;NA;613752;612718;NA;NA;266600;NA;104300;600274;NA;NA;NA;NA;219700;211980;NA;610247;300352
HMDB0000067,"Gallbladder disease;Cholelithiasis;Stomach cancer;Acute myelogenous leukemia;Hypercholesterolemia;Cholesteryl ester storage disease;Cystinosis;Smith-Lemli-Opitz syndrome;Prostate cancer;Schizophrenia;Primary hypomagnesemia;Hyperlipoproteinemia;Abetalipoproteinemia;Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis;Cerebrotendinous xanthomatosis;3-Hydroxy-3-Methylglutaryl-CoA Synthase Deficiency;Hypercholesterolemia, familial;SC4MOL deficiency;Chondrodysplasia punctata, X-linked dominant;Desmosterolosis;Donohue Syndrome;Leptin Deficiency or Dysfunction;Duchenne Muscular Dystrophy;Lecithin:cholesterol Acyltransferase Deficiency;Lipodystrophy;Lipodystrophy, Congenital Generalized;Oculocerebrorenal syndrome;Familial partial lipodystrophy;Lathosterolosis;Partial lipodystrophy;Multiple sclerosis;Inflammatory bowel disease;Colorectal cancer",NA;600803;137215;602439;NA;278000;219750;270400;176807;181500;248250;238600;200100;201750;213700;605911;143890;616834;302960;602398;246200;614962;310200;245900;NA;608594;309000;608600;607330;NA;126200;NA;114500
HMDB0000068,Addison's Disease;Subarachnoid hemorrhage;Pheochromocytoma;Head injury;Cerebral infarction;Bacterial meningitis;Encephalitis;Schizophrenia,240200;105800;171300;NA;NA;NA;NA;181500
HMDB0000070,"Infantile Refsum's disease;Rhizomelic chondrodysplasia punctata;Refsum's disease;Peroxisomal disorders, new type, liver;Pyridoxine-dependent epilepsy;D-Bifunctional protein deficiency;Pseudoneonatal adrenoleukodystrophy;Traumatic brain injury;Malaria;Anemia;Tuberculous meningitis;Convulsion;Hyperlysinemia I, familial;Hyperpipecolatemia;Colorectal cancer;Perillyl alcohol administration for cancer treatment;Pancreatic cancer;Periodontal disease;Periodontal Probing Depth;Peroxisomal biogenesis defect;Adrenoleukodystrophy;Schizophrenia",266510;215100;266500;NA;266100;261515;264470;NA;248310;NA;NA;NA;238700;NA;114500;NA;260350;170650;NA;214100;300100;181500
HMDB0000071,Colorectal cancer;Attachment loss;Periodontal Probing Depth;Purine nucleoside phosphorylase deficiency ;Eosinophilic esophagitis,114500;NA;NA;164050;610247
HMDB0000072,Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Lung Cancer;Eosinophilic esophagitis;Schizophrenia;Amish lethal microcephaly,104300;600274;NA;211980;610247;181500;607196
HMDB0000073,Dopamine Beta-Hydroxylase Deficiency;Hypothyroidism;Alzheimer's disease;Cerebral infarction;Bacterial meningitis;Encephalitis;Vitiligo;Aromatic L-amino acid decarboxylase deficiency;Eosinophilic esophagitis;Schizophrenia;Dopamine-serotonin Vesicular Transport Defect,223360;NA;104300;NA;NA;NA;193200;608643;610247;181500;NA
HMDB0000076,Colorectal cancer;Dihydropyrimidine dehydrogenase deficiency;Hypertension;Cerebral infarction;Liver disease,114500;274270;145500;NA;NA
HMDB0000077,"Adrenal hyperplasia, congenital, due to 3-beta-hydroxysteroid dehydrogenase 2 deficiency;Aromatase deficiency;21-Hydroxylase deficiency;Antley-Bixler syndrome with genital anomalies and disordered steroidogenesis;Adrenal insufficiency, congenital, with 46,XY sex reversal, partial or complete;Lipoid Congenital Adrenal Hyperplasia;Rheumatoid arthritis",201810;613546;201910;201750;613743;201710;180300
HMDB0000078,Phenylketonuria,261600
HMDB0000079,Dihydropyrimidinase deficiency;Beta-ureidopropionase deficiency;Eosinophilic esophagitis,222748;613161;610247
HMDB0000082,,
HMDB0000085,Colorectal cancer;Purine nucleoside phosphorylase deficiency ,114500;164050
HMDB0000086,Kidney cancer;Multi-infarct dementia;Alzheimer's disease;Perillyl alcohol administration for cancer treatment;Pancreatic cancer;Periodontal disease;Attachment loss;Missing teeth;Periodontal Probing Depth;Prosthesis/Missing teeth,NA;NA;104300;NA;260350;170650;NA;NA;NA;NA
HMDB0000087,Kidney disease;Uremia;Early preeclampsia;Pregnancy;Late-onset preeclampsia;Pancreatic cancer;Diabetes mellitus type 2;Rhabdomyolysis;Diabetes mellitus type 1;Autosomal  dominant polycystic kidney disease;Bladder infections;Eosinophilic esophagitis;Duchenne Muscular Dystrophy,NA;NA;NA;NA;NA;260350;125853;NA;222100;601313;NA;610247;310200
HMDB0000089,Canavan disease;Uremia;Colorectal cancer;Crohn's disease;Ulcerative colitis;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Attachment loss;Missing teeth;Periodontal Probing Depth,271900;NA;114500;266600;NA;104300;600274;NA;NA;NA;NA
HMDB0000092,Kidney disease;Uremia;Colorectal cancer;Crohn's disease;Ulcerative colitis;Eosinophilic esophagitis;Dimethylglycine Dehydrogenase Deficiency,NA;NA;114500;266600;NA;610247;605850
HMDB0000094,"Hyperoxalemia;Pancreatic cancer;Schizophrenia;Early preeclampsia;Pregnancy;Late-onset preeclampsia;Canavan disease;2-Ketoglutarate dehydrogenase complex deficiency;Irritable bowel syndrome;Crohn's disease;Ulcerative colitis;Alzheimer's disease;Frontotemporal dementia;Lewy body disease;Paraquat poisoning;Lung Cancer;Rhabdomyolysis;Diabetes mellitus type 1;Argininosuccinic aciduria;Propionic acidemia;Tyrosinemia I;Phenylketonuria;Maple syrup urine disease;Eosinophilic esophagitis;Colorectal cancer;Primary hypomagnesemia;Amish lethal microcephaly;Deafness, Onychodystrophy, Osteodystrophy, Mental Retardation, and Seizures Syndrome",NA;260350;181500;NA;NA;NA;271900;203740;NA;266600;NA;104300;600274;NA;NA;211980;NA;222100;207900;606054;276700;261600;248600;610247;114500;248250;607196;220500
HMDB0000095,Colorectal cancer;Alzheimer's disease;Frontotemporal dementia;Lewy body disease,114500;104300;600274;NA
HMDB0000097,Early preeclampsia;Pregnancy;Spina Bifida;Multi-infarct dementia;Alzheimer's disease;Irritable bowel syndrome;Ulcerative colitis;Crohn's disease;Diverticular disease;Rheumatoid arthritis;Colorectal cancer;Perillyl alcohol administration for cancer treatment;Pancreatic cancer;Periodontal disease;Frontotemporal dementia;Lewy body disease;Lung Cancer;Eosinophilic esophagitis,NA;NA;182940;NA;104300;NA;NA;266600;NA;180300;114500;NA;260350;170650;600274;NA;211980;610247
HMDB0000098,Small intestinal malabsorption;Kidney disease;Small bowel bacterial overgrowth syndrome;Crohn's disease;AIDS;Colorectal cancer;Lung Cancer;Eosinophilic esophagitis,NA;NA;NA;266600;NA;114500;211980;610247
